,match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
28788,125,1,Delhi Daredevils,Chennai Super Kings,2,6,V Sehwag,AB de Villiers,MS Gony,0,0,0,0,0,0,0,0,0,V Sehwag,caught,JA Morkel
28827,125,1,Delhi Daredevils,Chennai Super Kings,9,3,TM Dilshan,AB de Villiers,JA Morkel,0,0,0,0,0,0,0,0,0,TM Dilshan,caught,SK Raina
28861,125,1,Delhi Daredevils,Chennai Super Kings,14,7,KD Karthik,AB de Villiers,L Balaji,0,0,0,0,0,0,0,0,0,KD Karthik,caught,A Flintoff
28896,125,1,Delhi Daredevils,Chennai Super Kings,20,5,MK Tiwary,AB de Villiers,L Balaji,0,0,0,0,0,0,0,0,0,MK Tiwary,caught,A Flintoff
28931,125,2,Chennai Super Kings,Delhi Daredevils,6,3,PA Patel,ML Hayden,PJ Sangwan,0,0,0,0,0,0,0,0,0,PA Patel,caught,AB de Villiers
28949,125,2,Chennai Super Kings,Delhi Daredevils,8,7,ML Hayden,SK Raina,PJ Sangwan,0,0,0,0,0,0,0,0,0,ML Hayden,caught,DP Nannes
28964,125,2,Chennai Super Kings,Delhi Daredevils,11,3,MS Dhoni,SK Raina,DL Vettori,0,0,0,0,0,0,0,0,0,MS Dhoni,caught,KD Karthik
28986,125,2,Chennai Super Kings,Delhi Daredevils,15,1,SK Raina,A Flintoff,PJ Sangwan,0,0,0,0,0,0,0,0,0,SK Raina,caught,AB de Villiers
28998,125,2,Chennai Super Kings,Delhi Daredevils,16,6,A Flintoff,JA Morkel,A Nehra,0,0,0,0,0,0,0,0,0,A Flintoff,caught,DA Warner (sub)
29013,125,2,Chennai Super Kings,Delhi Daredevils,19,3,S Badrinath,JA Morkel,DL Vettori,0,0,0,0,0,0,0,0,0,S Badrinath,caught,DA Warner (sub)
29016,125,2,Chennai Super Kings,Delhi Daredevils,19,6,MS Gony,JA Morkel,DL Vettori,0,0,0,0,0,0,0,0,0,MS Gony,run out,V Sehwag
29019,125,2,Chennai Super Kings,Delhi Daredevils,20,3,Joginder Sharma,JA Morkel,DP Nannes,0,0,0,0,0,0,0,0,0,Joginder Sharma,run out,DA Warner (sub)
29020,125,2,Chennai Super Kings,Delhi Daredevils,20,4,JA Morkel,L Balaji,DP Nannes,0,0,0,0,0,0,0,0,0,L Balaji,run out,PJ Sangwan
29034,126,1,Rajasthan Royals,Kolkata Knight Riders,2,6,PC Valthaty,GC Smith,Anureet Singh,0,0,0,0,0,0,0,0,0,PC Valthaty,caught,I Sharma
29036,126,1,Rajasthan Royals,Kolkata Knight Riders,3,2,RJ Quiney,GC Smith,I Sharma,0,0,0,0,0,0,0,0,0,RJ Quiney,caught,CH Gayle
29072,126,1,Rajasthan Royals,Kolkata Knight Riders,9,1,GC Smith,YK Pathan,BAW Mendis,0,0,0,0,0,0,0,0,0,GC Smith,caught,CH Gayle
29077,126,1,Rajasthan Royals,Kolkata Knight Riders,9,6,YK Pathan,RA Jadeja,BAW Mendis,0,0,0,0,0,0,0,0,0,YK Pathan,caught,Yashpal Singh
29122,126,1,Rajasthan Royals,Kolkata Knight Riders,17,2,RA Jadeja,AD Mascarenhas,I Sharma,0,0,0,0,0,0,0,0,0,RA Jadeja,caught,Yashpal Singh
29173,126,2,Kolkata Knight Riders,Rajasthan Royals,4,6,BB McCullum,CH Gayle,AD Mascarenhas,0,0,0,0,0,0,0,0,0,BB McCullum,caught,Kamran Khan
29203,126,2,Kolkata Knight Riders,Rajasthan Royals,9,2,CH Gayle,LR Shukla,SK Warne,0,0,0,0,0,0,0,0,0,CH Gayle,caught,RA Jadeja
29212,126,2,Kolkata Knight Riders,Rajasthan Royals,10,5,LR Shukla,BJ Hodge,Kamran Khan,0,0,0,0,0,0,0,0,0,LR Shukla,caught,M Rawat
29218,126,2,Kolkata Knight Riders,Rajasthan Royals,11,5,BJ Hodge,SC Ganguly,MM Patel,0,0,0,0,0,0,0,0,0,BJ Hodge,caught,M Rawat
29239,126,2,Kolkata Knight Riders,Rajasthan Royals,14,8,SB Bangar,SC Ganguly,Kamran Khan,0,0,0,0,0,0,0,0,0,SB Bangar,caught,GC Smith
29270,126,2,Kolkata Knight Riders,Rajasthan Royals,19,6,Yashpal Singh,SC Ganguly,SK Warne,0,0,0,0,0,0,0,0,0,Yashpal Singh,caught,AS Raut
29277,126,2,Kolkata Knight Riders,Rajasthan Royals,20,6,SC Ganguly,AB Agarkar,Kamran Khan,0,0,0,0,0,0,0,0,0,SC Ganguly,caught,M Rawat
29278,126,2,Kolkata Knight Riders,Rajasthan Royals,20,7,I Sharma,AB Agarkar,Kamran Khan,0,0,0,0,0,0,1,0,1,I Sharma,run out,Kamran Khan
29285,126,3,Kolkata Knight Riders,Rajasthan Royals,1,7,CH Gayle,BB McCullum,Kamran Khan,1,0,0,0,0,0,0,0,0,CH Gayle,caught,RJ Quiney
29296,127,1,Royal Challengers Bangalore,Kings XI Punjab,2,1,RV Uthappa,JD Ryder,IK Pathan,0,0,0,0,0,0,0,0,0,RV Uthappa,caught,Yuvraj Singh
29324,127,1,Royal Challengers Bangalore,Kings XI Punjab,6,4,KP Pietersen,JH Kallis,YA Abdulla,0,0,0,0,0,0,0,0,0,KP Pietersen,caught,K Goel
29353,127,1,Royal Challengers Bangalore,Kings XI Punjab,11,3,R Dravid,JH Kallis,PP Chawla,0,0,0,0,0,0,0,0,0,R Dravid,caught,VRV Singh
29390,127,1,Royal Challengers Bangalore,Kings XI Punjab,17,4,JH Kallis,LRPL Taylor,YA Abdulla,0,0,0,0,0,0,0,0,0,JH Kallis,caught,DPMD Jayawardene
29397,127,1,Royal Challengers Bangalore,Kings XI Punjab,18,4,V Kohli,LRPL Taylor,VRV Singh,0,0,0,0,0,0,0,0,0,V Kohli,caught,RS Bopara
29404,127,1,Royal Challengers Bangalore,Kings XI Punjab,19,5,LRPL Taylor,P Kumar,YA Abdulla,0,0,0,0,0,0,0,0,0,LRPL Taylor,caught,DPMD Jayawardene
29456,127,2,Kings XI Punjab,Royal Challengers Bangalore,7,4,K Goel,RS Bopara,JH Kallis,0,0,0,0,0,0,1,0,1,K Goel,run out,R Vinay Kumar
29491,127,2,Kings XI Punjab,Royal Challengers Bangalore,13,3,KC Sangakkara,RS Bopara,A Kumble,0,0,0,0,0,0,0,0,0,KC Sangakkara,caught,Pankaj Singh
29525,127,2,Kings XI Punjab,Royal Challengers Bangalore,19,1,RS Bopara,Yuvraj Singh,JH Kallis,0,0,0,0,0,0,0,0,0,RS Bopara,caught,JD Ryder
29575,128,1,Deccan Chargers,Mumbai Indians,7,5,AC Gilchrist,HH Gibbs,DJ Bravo,0,0,0,0,0,0,0,0,0,AC Gilchrist,caught,PR Shah
29623,128,1,Deccan Chargers,Mumbai Indians,15,4,RG Sharma,HH Gibbs,DJ Bravo,0,0,0,0,0,0,0,0,0,RG Sharma,caught,S Dhawan
29625,128,1,Deccan Chargers,Mumbai Indians,15,6,VVS Laxman,HH Gibbs,DJ Bravo,0,0,0,0,0,0,0,0,0,VVS Laxman,caught,AM Nayar
29629,128,1,Deccan Chargers,Mumbai Indians,16,4,HH Gibbs,Y Venugopal Rao,Z Khan,0,0,0,0,0,0,1,0,1,HH Gibbs,run out,DJ Bravo
29648,128,1,Deccan Chargers,Mumbai Indians,19,4,RP Singh,DB Ravi Teja,Harbhajan Singh,0,0,0,0,0,0,0,0,0,RP Singh,caught,ST Jayasuriya
29667,128,2,Mumbai Indians,Deccan Chargers,2,4,ST Jayasuriya,SR Tendulkar,RP Singh,0,0,0,0,0,0,0,0,0,ST Jayasuriya,caught,AC Gilchrist
29727,128,2,Mumbai Indians,Deccan Chargers,11,5,SR Tendulkar,JP Duminy,PP Ojha,0,0,0,0,0,0,0,0,0,SR Tendulkar,caught,HH Gibbs
29749,128,2,Mumbai Indians,Deccan Chargers,15,3,JP Duminy,DJ Bravo,PP Ojha,0,0,0,0,0,0,0,0,0,JP Duminy,caught,DR Smith
29760,128,2,Mumbai Indians,Deccan Chargers,17,2,AM Nayar,DJ Bravo,FH Edwards,0,0,0,0,0,0,0,0,0,AM Nayar,caught,AC Gilchrist
29780,128,2,Mumbai Indians,Deccan Chargers,20,3,Harbhajan Singh,Z Khan,RP Singh,0,0,0,0,0,0,0,0,0,Harbhajan Singh,caught,DR Smith
29791,129,1,Royal Challengers Bangalore,Delhi Daredevils,2,2,RV Uthappa,KP Pietersen,A Nehra,0,0,0,0,0,0,0,0,0,RV Uthappa,caught,PJ Sangwan
29902,129,1,Royal Challengers Bangalore,Delhi Daredevils,19,6,MV Boucher,V Kohli,PJ Sangwan,0,0,0,0,0,0,0,0,0,MV Boucher,caught,A Mishra
29903,129,1,Royal Challengers Bangalore,Delhi Daredevils,20,1,V Kohli,B Akhil,A Nehra,0,0,0,0,0,0,0,0,0,V Kohli,caught,TM Dilshan
29905,129,1,Royal Challengers Bangalore,Delhi Daredevils,20,3,B Akhil,R Vinay Kumar,A Nehra,0,0,0,0,0,0,0,0,0,R Vinay Kumar,run out,AB de Villiers
29920,129,2,Delhi Daredevils,Royal Challengers Bangalore,2,5,V Sehwag,G Gambhir,Pankaj Singh,0,0,0,0,0,0,0,0,0,V Sehwag,caught,KP Pietersen
29944,129,2,Delhi Daredevils,Royal Challengers Bangalore,6,4,G Gambhir,TM Dilshan,Pankaj Singh,0,0,0,0,0,0,0,0,0,G Gambhir,caught,MV Boucher
30006,129,2,Delhi Daredevils,Royal Challengers Bangalore,16,4,KD Karthik,TM Dilshan,B Akhil,0,0,0,0,0,0,0,0,0,KD Karthik,caught,JH Kallis
30030,130,1,Kings XI Punjab,Rajasthan Royals,1,1,RS Bopara,K Goel,Kamran Khan,0,0,0,0,0,0,0,0,0,K Goel,run out,RA Jadeja
30055,130,1,Kings XI Punjab,Rajasthan Royals,5,1,RS Bopara,KC Sangakkara,Kamran Khan,0,0,0,0,0,0,0,0,0,RS Bopara,caught,MM Patel
30072,130,1,Kings XI Punjab,Rajasthan Royals,7,1,Yuvraj Singh,KC Sangakkara,MM Patel,0,0,0,0,0,0,0,0,0,Yuvraj Singh,caught,M Rawat
30085,130,1,Kings XI Punjab,Rajasthan Royals,9,2,DPMD Jayawardene,KC Sangakkara,MM Patel,0,0,0,0,0,0,0,0,0,DPMD Jayawardene,caught,Kamran Khan
30150,130,1,Kings XI Punjab,Rajasthan Royals,19,6,KC Sangakkara,PP Chawla,Kamran Khan,0,0,0,0,0,0,0,0,0,KC Sangakkara,run out,M Rawat
30166,130,2,Rajasthan Royals,Kings XI Punjab,2,2,SA Asnodkar,GC Smith,IK Pathan,0,0,0,0,0,0,0,0,0,SA Asnodkar,caught,RR Powar
30171,130,2,Rajasthan Royals,Kings XI Punjab,2,7,GC Smith,RJ Quiney,IK Pathan,0,0,0,0,0,0,0,0,0,GC Smith,caught,KC Sangakkara
30185,130,2,Rajasthan Royals,Kings XI Punjab,5,1,RJ Quiney,YK Pathan,YA Abdulla,0,0,0,0,0,0,0,0,0,RJ Quiney,caught,KC Sangakkara
30200,130,2,Rajasthan Royals,Kings XI Punjab,7,4,YK Pathan,RA Jadeja,PP Chawla,0,0,0,0,0,0,0,0,0,YK Pathan,caught,K Goel
30212,130,2,Rajasthan Royals,Kings XI Punjab,9,4,AS Raut,RA Jadeja,PP Chawla,0,0,0,0,0,0,0,0,0,AS Raut,caught,RR Powar
30284,131,1,Chennai Super Kings,Deccan Chargers,1,2,PA Patel,ML Hayden,FH Edwards,0,0,0,0,0,0,0,0,0,PA Patel,caught,AC Gilchrist
30363,131,1,Chennai Super Kings,Deccan Chargers,13,3,MS Dhoni,ML Hayden,PP Ojha,0,0,0,0,0,0,0,0,0,MS Dhoni,caught,Shoaib Ahmed
30366,131,1,Chennai Super Kings,Deccan Chargers,13,6,ML Hayden,JDP Oram,PP Ojha,0,0,0,0,0,0,0,0,0,ML Hayden,caught,RG Sharma
30389,131,1,Chennai Super Kings,Deccan Chargers,17,5,JA Morkel,JDP Oram,Y Venugopal Rao,0,0,0,0,0,0,0,0,0,JA Morkel,caught,RP Singh
30445,131,2,Deccan Chargers,Chennai Super Kings,6,4,AC Gilchrist,HH Gibbs,SK Raina,0,0,0,0,0,0,0,0,0,AC Gilchrist,caught,M Muralitharan
30456,131,2,Deccan Chargers,Chennai Super Kings,8,3,VVS Laxman,HH Gibbs,SK Raina,0,0,0,0,0,0,0,0,0,VVS Laxman,caught,JDP Oram
30494,131,2,Deccan Chargers,Chennai Super Kings,14,4,RG Sharma,HH Gibbs,L Balaji,0,0,0,0,0,0,0,0,0,RG Sharma,caught,MS Dhoni
30617,132,1,Mumbai Indians,Kolkata Knight Riders,14,5,Harbhajan Singh,ST Jayasuriya,BJ Hodge,0,0,0,0,0,0,0,0,0,Harbhajan Singh,caught,BAW Mendis
30622,132,1,Mumbai Indians,Kolkata Knight Riders,15,4,ST Jayasuriya,JP Duminy,LR Shukla,0,0,0,0,0,0,0,0,0,ST Jayasuriya,caught,AN Ghosh
30625,132,1,Mumbai Indians,Kolkata Knight Riders,16,1,AM Nayar,JP Duminy,BAW Mendis,0,0,0,0,0,0,0,0,0,AM Nayar,run out,LR Shukla
30636,132,1,Mumbai Indians,Kolkata Knight Riders,17,6,DJ Bravo,JP Duminy,LR Shukla,0,0,0,0,0,0,0,0,0,DJ Bravo,caught,CH Gayle
30647,132,1,Mumbai Indians,Kolkata Knight Riders,19,5,S Dhawan,JP Duminy,I Sharma,0,0,0,0,0,0,0,0,0,S Dhawan,caught,BB McCullum
30667,132,2,Kolkata Knight Riders,Mumbai Indians,2,7,BB McCullum,CH Gayle,SL Malinga,0,0,0,0,0,0,0,0,0,BB McCullum,caught,JP Duminy
30674,132,2,Kolkata Knight Riders,Mumbai Indians,3,7,CH Gayle,BJ Hodge,DJ Bravo,0,0,0,0,0,0,0,0,0,CH Gayle,caught,SR Tendulkar
30730,132,2,Kolkata Knight Riders,Mumbai Indians,13,1,SC Ganguly,Yashpal Singh,AM Nayar,0,0,0,0,0,0,0,0,0,SC Ganguly,caught,DJ Bravo
30732,132,2,Kolkata Knight Riders,Mumbai Indians,13,3,AN Ghosh,Yashpal Singh,AM Nayar,0,0,0,0,0,0,0,0,0,AN Ghosh,caught,SR Tendulkar
30737,132,2,Kolkata Knight Riders,Mumbai Indians,14,2,Yashpal Singh,LR Shukla,DJ Bravo,0,0,0,0,0,0,0,0,0,Yashpal Singh,caught,PR Shah
30746,132,2,Kolkata Knight Riders,Mumbai Indians,15,5,LR Shukla,I Sharma,Z Khan,0,0,0,0,0,0,0,0,0,LR Shukla,caught,ST Jayasuriya
30764,133,1,Delhi Daredevils,Rajasthan Royals,3,3,G Gambhir,V Sehwag,AD Mascarenhas,0,0,0,0,0,0,0,0,0,G Gambhir,caught,SK Warne
30767,133,1,Delhi Daredevils,Rajasthan Royals,3,6,V Sehwag,AB de Villiers,AD Mascarenhas,0,0,0,0,0,0,0,0,0,V Sehwag,caught,Kamran Khan
30785,133,1,Delhi Daredevils,Rajasthan Royals,6,5,TM Dilshan,AB de Villiers,MM Patel,0,0,0,0,0,0,0,0,0,TM Dilshan,caught,SA Asnodkar
30903,133,2,Rajasthan Royals,Delhi Daredevils,5,5,SA Asnodkar,GC Smith,PJ Sangwan,0,0,0,0,0,0,0,0,0,SA Asnodkar,run out,A Mishra
30914,133,2,Rajasthan Royals,Delhi Daredevils,7,4,PC Valthaty,GC Smith,A Mishra,0,0,0,0,0,0,0,0,0,PC Valthaty,caught,DL Vettori
30939,133,2,Rajasthan Royals,Delhi Daredevils,11,3,RA Jadeja,GC Smith,A Mishra,0,0,0,0,0,0,0,0,0,RA Jadeja,caught,PJ Sangwan
30942,133,2,Rajasthan Royals,Delhi Daredevils,11,6,SK Warne,GC Smith,A Mishra,0,0,0,0,0,0,0,0,0,SK Warne,stumped,KD Karthik
30990,134,1,Kolkata Knight Riders,Royal Challengers Bangalore,1,1,BB McCullum,CH Gayle,KP Pietersen,0,0,0,0,0,0,0,0,0,BB McCullum,caught,V Kohli
31042,134,1,Kolkata Knight Riders,Royal Challengers Bangalore,9,3,SC Ganguly,CH Gayle,P Kumar,0,0,0,0,0,0,0,0,0,SC Ganguly,caught,JH Kallis
31059,134,1,Kolkata Knight Riders,Royal Challengers Bangalore,12,2,CH Gayle,MN van Wyk,KP Appanna,0,0,0,0,0,0,0,0,0,CH Gayle,caught,SP Goswami
31090,134,1,Kolkata Knight Riders,Royal Challengers Bangalore,17,3,WP Saha,MN van Wyk,A Kumble,0,0,0,0,0,0,0,0,0,WP Saha,caught,KP Pietersen
31184,134,2,Royal Challengers Bangalore,Kolkata Knight Riders,12,1,SP Goswami,JH Kallis,BJ Hodge,0,0,0,0,0,0,0,0,0,SP Goswami,caught,MN van Wyk
31193,134,2,Royal Challengers Bangalore,Kolkata Knight Riders,13,4,JH Kallis,KP Pietersen,I Sharma,0,0,0,0,0,0,0,0,0,JH Kallis,caught,MN van Wyk
31212,134,2,Royal Challengers Bangalore,Kolkata Knight Riders,16,4,V Kohli,KP Pietersen,BJ Hodge,0,0,0,0,0,0,0,0,0,V Kohli,caught,MN van Wyk
31214,134,2,Royal Challengers Bangalore,Kolkata Knight Riders,16,6,KP Pietersen,MV Boucher,BJ Hodge,0,0,0,0,0,0,0,0,0,KP Pietersen,caught,WP Saha
31231,134,2,Royal Challengers Bangalore,Kolkata Knight Riders,19,5,RE van der Merwe,MV Boucher,I Sharma,0,0,0,0,0,0,0,0,0,RE van der Merwe,caught,MN van Wyk
31260,135,1,Kings XI Punjab,Mumbai Indians,4,5,K Goel,RS Bopara,Harbhajan Singh,0,0,0,0,0,0,0,0,0,K Goel,stumped,PR Shah
31264,135,1,Kings XI Punjab,Mumbai Indians,5,3,RS Bopara,KC Sangakkara,DJ Bravo,0,0,0,0,0,0,0,0,0,RS Bopara,caught,SR Tendulkar
31289,135,1,Kings XI Punjab,Mumbai Indians,9,3,Yuvraj Singh,KC Sangakkara,JP Duminy,0,0,0,0,0,0,0,0,0,Yuvraj Singh,caught,Z Khan
31302,135,1,Kings XI Punjab,Mumbai Indians,11,3,DPMD Jayawardene,KC Sangakkara,ST Jayasuriya,0,0,0,0,0,0,0,0,0,DPMD Jayawardene,caught,S Dhawan
31329,135,1,Kings XI Punjab,Mumbai Indians,15,4,IK Pathan,KC Sangakkara,Z Khan,0,0,0,0,0,0,0,0,0,IK Pathan,caught,DJ Bravo
31363,135,1,Kings XI Punjab,Mumbai Indians,20,6,KC Sangakkara,RR Powar,DJ Bravo,0,0,0,0,0,0,0,0,0,RR Powar,run out,PR Shah
31365,135,2,Mumbai Indians,Kings XI Punjab,1,2,ST Jayasuriya,SR Tendulkar,IK Pathan,0,0,0,0,0,0,0,0,0,ST Jayasuriya,caught,Yuvraj Singh
31373,135,2,Mumbai Indians,Kings XI Punjab,2,3,SR Tendulkar,S Dhawan,VS Malik,0,0,0,0,0,0,0,0,0,SR Tendulkar,caught,DPMD Jayawardene
31423,135,2,Mumbai Indians,Kings XI Punjab,10,2,DJ Bravo,JP Duminy,RR Powar,0,0,0,0,0,0,0,0,0,DJ Bravo,caught,WA Mota
31479,135,2,Mumbai Indians,Kings XI Punjab,19,1,Harbhajan Singh,JP Duminy,PP Chawla,0,0,0,0,0,0,0,0,0,Harbhajan Singh,caught,K Goel
31489,135,2,Mumbai Indians,Kings XI Punjab,20,5,JP Duminy,SS Tiwary,YA Abdulla,0,0,0,0,0,0,0,0,0,JP Duminy,caught,T Kohli (sub)
31496,136,1,Deccan Chargers,Delhi Daredevils,1,5,AC Gilchrist,HH Gibbs,DP Nannes,0,0,0,0,0,0,0,0,0,AC Gilchrist,caught,KD Karthik
31507,136,1,Deccan Chargers,Delhi Daredevils,3,3,HH Gibbs,AA Bilakhia,DP Nannes,0,0,0,0,0,0,0,0,0,HH Gibbs,caught,AB de Villiers
31547,136,1,Deccan Chargers,Delhi Daredevils,9,6,RG Sharma,AA Bilakhia,A Mishra,0,0,0,0,0,0,0,0,0,RG Sharma,caught,M Manhas
31583,136,1,Deccan Chargers,Delhi Daredevils,15,5,TL Suman,DR Smith,PJ Sangwan,0,0,0,0,0,0,0,0,0,TL Suman,caught,AB de Villiers
31602,136,1,Deccan Chargers,Delhi Daredevils,18,6,DR Smith,Y Venugopal Rao,A Nehra,0,0,0,0,0,0,0,0,0,DR Smith,caught,DL Vettori
31605,136,1,Deccan Chargers,Delhi Daredevils,19,3,Shoaib Ahmed,Y Venugopal Rao,DP Nannes,0,0,0,0,0,0,0,0,0,Shoaib Ahmed,run out,KD Karthik
31614,136,1,Deccan Chargers,Delhi Daredevils,20,6,PP Ojha,RP Singh,A Nehra,0,0,0,0,0,0,1,0,1,PP Ojha,run out,DL Vettori
31635,136,2,Delhi Daredevils,Deccan Chargers,4,3,V Sehwag,G Gambhir,RP Singh,0,0,0,0,0,0,0,0,0,V Sehwag,caught,HH Gibbs
31644,136,2,Delhi Daredevils,Deccan Chargers,5,6,AB de Villiers,G Gambhir,Shoaib Ahmed,0,0,0,0,0,0,0,0,0,AB de Villiers,caught,PP Ojha
31755,137,1,Chennai Super Kings,Rajasthan Royals,4,3,PA Patel,SK Raina,YK Pathan,0,0,0,0,0,0,0,0,0,PA Patel,caught,Kamran Khan
31801,137,1,Chennai Super Kings,Rajasthan Royals,12,1,S Badrinath,SK Raina,SK Warne,0,0,0,0,0,0,0,0,0,S Badrinath,stumped,M Rawat
31812,137,1,Chennai Super Kings,Rajasthan Royals,13,5,JDP Oram,SK Raina,MM Patel,0,0,0,0,0,0,0,0,0,JDP Oram,caught,AD Mascarenhas
31855,137,1,Chennai Super Kings,Rajasthan Royals,20,4,SK Raina,MS Dhoni,MM Patel,0,0,0,0,0,0,0,0,0,SK Raina,caught,GC Smith
31870,137,2,Rajasthan Royals,Chennai Super Kings,2,6,GC Smith,RJ Quiney,JA Morkel,0,0,0,0,0,0,0,0,0,GC Smith,caught,S Badrinath
31937,137,2,Rajasthan Royals,Chennai Super Kings,13,6,YK Pathan,RA Jadeja,L Balaji,0,0,0,0,0,0,0,0,0,YK Pathan,caught,SK Raina
31949,137,2,Rajasthan Royals,Chennai Super Kings,15,6,AD Mascarenhas,RA Jadeja,JDP Oram,0,0,0,0,0,0,0,0,0,AD Mascarenhas,caught,M Muralitharan
31964,137,2,Rajasthan Royals,Chennai Super Kings,18,3,RA Jadeja,SK Warne,L Balaji,0,0,0,0,0,0,0,0,0,RA Jadeja,caught,ML Hayden
31968,137,2,Rajasthan Royals,Chennai Super Kings,18,7,SK Warne,M Rawat,L Balaji,0,0,0,0,0,0,0,0,0,SK Warne,caught,S Badrinath
31969,137,2,Rajasthan Royals,Chennai Super Kings,19,1,MM Patel,M Rawat,JDP Oram,0,0,0,0,0,0,0,0,0,MM Patel,caught,PA Patel
31977,137,2,Rajasthan Royals,Chennai Super Kings,20,3,SK Trivedi,M Rawat,L Balaji,0,0,0,0,0,0,0,0,0,SK Trivedi,caught,SK Raina
31999,138,1,Mumbai Indians,Kolkata Knight Riders,4,2,ST Jayasuriya,SR Tendulkar,AB Dinda,0,0,0,0,0,0,0,0,0,ST Jayasuriya,caught,MN van Wyk
32015,138,1,Mumbai Indians,Kolkata Knight Riders,6,5,Harbhajan Singh,SR Tendulkar,M Kartik,0,0,0,0,0,0,0,0,0,Harbhajan Singh,caught,AB Dinda
32028,138,1,Mumbai Indians,Kolkata Knight Riders,8,6,SR Tendulkar,AM Nayar,AB Agarkar,0,0,0,0,0,0,0,0,0,SR Tendulkar,caught,BB McCullum
32077,138,1,Mumbai Indians,Kolkata Knight Riders,16,6,GR Napier,JP Duminy,CH Gayle,0,0,0,0,0,0,0,0,0,GR Napier,caught,BB McCullum
32096,138,1,Mumbai Indians,Kolkata Knight Riders,19,6,AM Rahane,JP Duminy,I Sharma,0,0,0,0,0,0,0,0,0,AM Rahane,caught,CH Gayle
32197,138,2,Kolkata Knight Riders,Mumbai Indians,15,5,MN van Wyk,BJ Hodge,GR Napier,0,0,0,0,0,0,0,0,0,MN van Wyk,caught,JP Duminy
32224,138,2,Kolkata Knight Riders,Mumbai Indians,19,6,BJ Hodge,BB McCullum,SL Malinga,0,0,0,0,0,0,1,0,1,BJ Hodge,run out,JP Duminy
32227,138,2,Kolkata Knight Riders,Mumbai Indians,20,3,BB McCullum,WP Saha,AM Nayar,0,0,0,0,0,0,0,0,0,BB McCullum,caught,SL Malinga
32235,139,1,Royal Challengers Bangalore,Kings XI Punjab,1,5,JD Ryder,SP Goswami,IK Pathan,0,0,0,0,0,0,0,0,0,JD Ryder,caught,DPMD Jayawardene
32259,139,1,Royal Challengers Bangalore,Kings XI Punjab,5,4,R Bishnoi,SP Goswami,YA Abdulla,0,0,0,0,0,0,0,0,0,R Bishnoi,caught,PP Chawla
32268,139,1,Royal Challengers Bangalore,Kings XI Punjab,7,1,SP Goswami,JH Kallis,YA Abdulla,0,0,0,0,0,0,0,0,0,SP Goswami,caught,PP Chawla
32304,139,1,Royal Challengers Bangalore,Kings XI Punjab,12,6,RV Uthappa,JH Kallis,Yuvraj Singh,0,0,0,0,0,0,0,0,0,RV Uthappa,caught,SM Katich
32339,139,1,Royal Challengers Bangalore,Kings XI Punjab,18,4,RE van der Merwe,V Kohli,YA Abdulla,0,0,0,0,0,0,0,0,0,RE van der Merwe,caught,IK Pathan
32342,139,1,Royal Challengers Bangalore,Kings XI Punjab,19,1,V Kohli,P Kumar,IK Pathan,0,0,0,0,0,0,0,0,0,V Kohli,caught,PP Chawla
32414,139,2,Kings XI Punjab,Royal Challengers Bangalore,10,5,Yuvraj Singh,K Goel,A Kumble,0,0,0,0,0,0,0,0,0,Yuvraj Singh,caught,JH Kallis
32421,139,2,Kings XI Punjab,Royal Challengers Bangalore,11,6,K Goel,SM Katich,RE van der Merwe,0,0,0,0,0,0,0,0,0,K Goel,caught,V Kohli
32431,139,2,Kings XI Punjab,Royal Challengers Bangalore,13,4,KC Sangakkara,SM Katich,JD Ryder,0,0,0,0,0,0,0,0,0,SM Katich,run out,RE van der Merwe
32459,139,2,Kings XI Punjab,Royal Challengers Bangalore,18,1,DPMD Jayawardene,KC Sangakkara,RE van der Merwe,0,0,0,0,0,0,0,0,0,DPMD Jayawardene,caught,JH Kallis
32475,139,2,Kings XI Punjab,Royal Challengers Bangalore,20,4,IK Pathan,PP Chawla,P Kumar,0,0,0,0,0,0,0,0,0,IK Pathan,caught,V Kohli
32508,140,1,Deccan Chargers,Rajasthan Royals,6,1,AA Bilakhia,AC Gilchrist,SM Harwood,0,0,0,0,0,0,0,0,0,AA Bilakhia,caught,SK Trivedi
32537,140,1,Deccan Chargers,Rajasthan Royals,10,5,AC Gilchrist,RG Sharma,RA Jadeja,0,0,0,0,0,0,0,0,0,AC Gilchrist,caught,YK Pathan
32582,140,1,Deccan Chargers,Rajasthan Royals,17,5,RG Sharma,TL Suman,SK Trivedi,0,0,0,0,0,0,0,0,0,RG Sharma,caught,SK Warne
32597,140,1,Deccan Chargers,Rajasthan Royals,20,2,DR Smith,TL Suman,SM Harwood,0,0,0,0,0,0,0,0,0,DR Smith,caught,SK Warne
32603,140,2,Rajasthan Royals,Deccan Chargers,1,2,GC Smith,SA Asnodkar,FH Edwards,0,0,0,0,0,0,0,0,0,GC Smith,caught,Shoaib Ahmed
32605,140,2,Rajasthan Royals,Deccan Chargers,1,4,SA Asnodkar,LA Carseldine,FH Edwards,0,0,0,0,0,0,0,0,0,SA Asnodkar,run out,HH Gibbs
32614,140,2,Rajasthan Royals,Deccan Chargers,2,6,NV Ojha,LA Carseldine,RP Singh,0,0,0,0,0,0,0,0,0,NV Ojha,caught,HH Gibbs
